train_id,train_name,route_name,station_destination_name,departure_time_utc7,color,destination_time_utc7,station_departure_name,station_departure_id,station_destination_id
2400,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,06:07:00,#DD0067,06:16:00,ANCOL,AC,TPK
2402,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,06:24:00,#DD0067,06:33:00,ANCOL,AC,TPK
2401,COMMUTER LINE TANJUNGPRIUK,TANJUNGPRIUK-JAKARTAKOTA,JAKARTAKOTA,06:34:00,#DD0067,06:42:00,ANCOL,AC,JAKK
2404,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,06:43:00,#DD0067,06:52:00,ANCOL,AC,TPK
2403,COMMUTER LINE TANJUNGPRIUK,TANJUNGPRIUK-JAKARTAKOTA,JAKARTAKOTA,06:50:00,#DD0067,06:58:00,ANCOL,AC,JAKK
2406,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,07:01:00,#DD0067,07:10:00,ANCOL,AC,TPK
2405,COMMUTER LINE TANJUNGPRIUK,TANJUNGPRIUK-JAKARTAKOTA,JAKARTAKOTA,07:10:00,#DD0067,07:18:00,ANCOL,AC,JAKK
2408,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,07:19:00,#DD0067,07:28:00,ANCOL,AC,TPK
2407,COMMUTER LINE TANJUNGPRIUK,TANJUNGPRIUK-JAKARTAKOTA,JAKARTAKOTA,07:28:00,#DD0067,07:36:00,ANCOL,AC,JAKK
2410,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,07:37:00,#DD0067,07:46:00,ANCOL,AC,TPK
2409,COMMUTER LINE TANJUNGPRIUK,TANJUNGPRIUK-JAKARTAKOTA,JAKARTAKOTA,07:46:00,#DD0067,07:54:00,ANCOL,AC,JAKK
2412,COMMUTER LINE TANJUNGPRIUK,JAKARTAKOTA-TANJUNGPRIUK,TANJUNGPRIUK,07:55:00,#DD0067,08:04:00,ANCOL,AC,TPK
2411,COMMUTER LINE TANJUNGPRIUK,TANJUNGPRIUK-JAKARTAKOTA,JAKARTAKOTA,08:04:00,#DD0067,08:12:00,ANCOL,AC,JAKK
