station_id,station_name
AC,ANCOL
AK,ANGKE
BJD,BOJONGGEDE
BKS,BEKASI
BOI,BOJONG INDAH
BOO,BOGOR
BPR,BATU CEPER
BUA,BUARAN
CC,CICAYUR
CKI,CIKINI
CLT,CILEBUT
CSK,CISAUK
CTA,CITAYAM
CUK,CAKUNG
CW,CAWANG
DP,DEPOK
DPB,DEPOK BARU
DRN,DUREN KALIBATA
DU,DURI
GDD,GONDANG DIA
GMR,GAMBIR
GST,GANG SENTIONG
JAKK,JAKARTAKOTA
JAY,JAYAKARTA
JNG,JATINEGARA
JMU,JURANGMANGU
JUA,JUANDA
KAT,KARET
KBY,KEBAYORAN BARU
KDS,KALIDERES
KLD,KLENDER
KLDB,KLENDER BARU
SUDB,BNI CITY
KMO,KEMAYORAN
KMT,KRAMAT
KPB,KAMPUNGBANDAN
KRI,KRANJI
LNA,LENTENG AGUNG
MGB,MANGGA BESAR
MRI,MANGGARAI
PDJ,PONDOK RANJI
PI,PORIS
PLM,PALMERAH
POC,PONDOK CINA
POK,PONDOK JATI
PRP,PARUNGPANJANG
PSE,PASAR SENEN
PSG,PESING
PSM,PASAR MINGGU
PSMB,PASAR MINGGU BARU
RJW,RAJAWALI
RU,RAWA BUNTU
RW,RAWA BUAYA
SDM,SUDIMARA
SRP,SERPONG
SUD,SUDIRMAN
SW,SAWAH BESAR
TEB,TEBET
THB,TANAHABANG
TNG,TANGERANG
TNT,TANJUNGBARAT
TPK,TANJUNGPRIUK
UI,UNIVERSITAS INDONESIA
UP,UNIVERSITS PANCASILA
TB,TAMBUN
CKR,CIKARANG
RK,RANGKASBITUNG
NMO,NAMBO
TGS,TIGARAKSA
TTI,TANAHTINGGI
TKO,TAMAN KOTA
GGL,GROGOL
CJT,CILEJIT
DAR,DARU
TEJ,TENJO
CKY,CIKOYA
MJ,MAJA
CTR,CITERAS
TLM,TELAGAMURNI
CIT,CIBITUNG
BKST,BEKASI TIMUR
CBN,CIBINONG
